  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
12:34:08      8.72      4.49  75375.78    165.56      0.00      0.00
12:34:09      3.85      0.15  423240.4    298.80      0.00      0.00
12:34:10      2.11      0.00  425961.7    320.06      0.00      0.00
12:34:11      3.92      0.06  425275.2    331.86      0.00      0.00
12:34:12      2.81      0.00  426104.7    342.95      0.00      0.00
12:34:13      3.10      0.00  426051.3    343.40      0.00      0.00
12:34:14      2.75      0.00  425999.8    343.45      0.00      0.00
12:34:15      2.11      0.06  425752.0    342.64      0.00      0.00
12:34:16      3.28      0.00  425974.2    342.73      0.00      0.00
12:34:17      1.87      0.00  426138.6    343.07      0.00      0.00
12:34:18      3.10      0.08  426248.8    343.25      0.00      0.00
12:34:19      3.22      0.00  425294.7    342.73      0.00      0.00
12:34:20      4.21      0.00  422963.6    341.42      0.00      0.00
12:34:21      4.10      0.00  422553.8    341.47      0.00      0.00
12:34:22      4.57      0.00  422008.3    340.14      0.00      0.00
12:34:23      2.75      0.00  421939.8    340.56      0.00      0.00
12:34:24      3.45      0.00  421898.4    339.99      0.00      0.00
12:34:25      3.98      0.00  421498.1    339.95      0.00      0.00
12:34:26      2.81      0.06  422445.5    340.34      0.00      0.00
12:34:27      3.22      0.00  422199.7    340.49      0.00      0.00
12:34:28     11.48      8.57  332778.2    268.53      0.00      0.00
12:34:29     13.52     10.37      0.00      0.00      0.00      0.00
