  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
11:11:37      7.53      1.02      0.00      0.00      0.00      0.00
11:11:38     11.79      4.83      0.00      0.00      0.00      0.00
11:11:39      5.09      0.00      0.00      0.00      0.00      0.00
11:11:40      4.86      0.06    293.48  140221.0    199.68  93431.71
11:11:41      5.04      0.12    632.17  269458.7    414.71  179620.1
11:11:42      4.68      0.00    634.09  267865.2    401.26  178228.2
11:11:43      3.57      0.06    632.27  267730.1    405.88  178217.7
11:11:44      3.86      0.00    608.95  268639.2    411.36  179179.2
11:11:45      4.51      0.00    615.34  268597.5    416.21  178900.9
11:11:46      3.92      0.00    599.03  268314.7    425.05  178821.4
11:11:47      3.69      0.00    610.34  267745.2    411.64  178250.4
11:11:48      2.22      0.06    626.21  268643.9    404.88  179113.2
11:11:49      5.09      0.00    617.43  267982.9    409.09  178502.5
11:11:50      3.22      0.00    623.48  267503.5    407.88  178577.0
11:11:51      5.68      0.00    615.75  267871.3    408.37  178510.7
11:11:52      3.45      0.00    631.92  266002.0    412.00  177489.2
11:11:53      3.39      0.00    595.01  267425.4    432.45  178448.2
11:11:54      2.93      0.06    611.16  267788.2    419.64  178450.3
11:11:55      4.27      0.00    619.57  266926.7    413.60  178237.5
11:11:56      3.75      0.00    620.53  267616.8    418.60  178290.9
11:11:57      4.45      0.00    593.96  268526.2    421.33  178897.7
11:11:58      2.75      0.06    614.09  267911.1    410.41  178686.5
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
11:11:59      3.80      0.00    622.92  266856.1    395.87  177513.4
11:12:00      4.16      0.00    267.30  116010.9    180.01  77412.80
11:12:01      3.51      0.00      0.12      0.12      0.00      0.00
11:12:02      5.50      0.00      0.00      0.00      0.00      0.00
11:12:03     15.85     13.96      0.00      0.00      0.00      0.00
11:12:04     28.92     21.05      0.00      0.00      0.00      0.00
