  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
11:17:38      5.32      1.12      0.00      0.00      0.00      0.00
11:17:39      8.19      4.89  39293.18     91.02  39231.89     90.49
11:17:40      3.80      0.00  225518.4    573.99  225613.4    589.43
11:17:41      2.46      0.06  225748.6    573.04  225907.2    600.97
11:17:42      5.09      0.00  225372.2    589.84  225709.8    584.16
11:17:43      3.51      0.00  226140.7    593.67  226094.9    565.75
11:17:44      4.51      0.00  226055.2    592.39  225766.2    578.13
11:17:45      3.34      0.12  225470.6    585.83  225395.4    593.15
11:17:46      4.62      0.00  226101.4    592.16  226322.0    562.99
11:17:47      5.74      0.00  226555.9    592.59  226792.5    569.81
11:17:48      3.69      0.00  226043.5    612.53  225794.4    579.73
11:17:49      5.38      0.00  226233.3    574.33  226687.0    592.01
11:17:50      3.29      0.00  226065.7    580.95  226068.9    598.65
11:17:51      5.91      0.00  225875.2    570.89  226025.8    602.05
11:17:52      3.16      0.00  226164.1    605.29  226302.5    570.57
11:17:53      4.27      0.06  225788.0    583.45  225886.3    583.86
11:17:54      4.68      0.00  225652.0    598.07  225400.9    566.17
11:17:55      4.45      0.06  225336.5    596.28  225200.9    587.83
11:17:56      5.56      0.00  226402.7    579.88  226745.5    567.33
11:17:57      2.93      0.00  226321.2    576.25  225954.5    570.69
11:17:58      5.81      0.06  225900.0    579.24  225645.2    568.91
11:17:59     12.14      8.62  178284.9    448.98  178173.6    478.51
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
11:18:00     16.33     10.37      0.00      0.00      0.00      0.00
