[2024-05-23T09:46:34.011690602Z INFO  quiche_apps::client] connecting to 10.10.1.1:4433 from 10.10.1.2:6231 with scid 55527824ce5a24a3425fe640c2c1727d5fc89f8c
[2024-05-23T09:46:34.115421816Z INFO  quiche_apps::client] Path (10.10.1.2:5358, 10.10.1.1:4448) is now validated
[2024-05-23T09:46:34.115524789Z INFO  quiche_apps::client] Path (10.10.1.2:5220, 10.10.1.1:5186) is now validated
[2024-05-23T09:46:34.115567910Z INFO  quiche_apps::client] Path (10.10.2.2:6955, 10.10.2.1:6537) is now validated
[2024-05-23T09:46:34.115672737Z INFO  quiche_apps::client] Path (10.10.2.2:5160, 10.10.2.1:4519) is now validated
[2024-05-23T09:46:34.115695289Z INFO  quiche_apps::client] Path (10.10.1.2:4637, 10.10.1.1:6246) is now validated
[2024-05-23T09:46:34.115745423Z INFO  quiche_apps::client] Path (10.10.2.2:5140, 10.10.2.1:5787) is now validated
[2024-05-23T09:46:34.115852384Z INFO  quiche_apps::client] Path (10.10.2.2:5330, 10.10.2.1:6419) is now validated
[2024-05-23T09:46:34.115952461Z INFO  quiche_apps::client] Path (10.10.2.2:4898, 10.10.2.1:6951) is now validated
[2024-05-23T09:46:34.116073388Z INFO  quiche_apps::client] Path (10.10.1.2:5334, 10.10.1.1:4983) is now validated
[2024-05-23T09:46:54.094093963Z INFO  quiche] Received fin for stream id 3
[2024-05-23T09:46:54.094112327Z INFO  quiche_apps::client] receieved in 20.082124027s app_conn: AdaptedMcMPQUICConnClient { received: 8054085430, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-05-23T09:46:54.094257619Z INFO  quiche_apps::client] receieved in 20.082269269s app_conn: AdaptedMcMPQUICConnClient { received: 8054085430, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-05-23T09:46:54.104315959Z INFO  quiche_apps::client] receieved in 20.092327649s app_conn: AdaptedMcMPQUICConnClient { received: 8054085430, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-05-23T09:46:54.114373937Z INFO  quiche_apps::client] receieved in 20.102385627s app_conn: AdaptedMcMPQUICConnClient { received: 8054085430, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-05-23T09:46:54.124435222Z INFO  quiche_apps::client] connection closed, recv=6203531 sent=129199 lost=0 retrans=0 sent_bytes=12557147 recv_bytes=8372851508 lost_bytes=0 [local_addr=10.10.1.2:6231 peer_addr=10.10.1.1:4433 validation_state=Validated state=Active recv=620109 sent=12886 lost=0 lost_spurious=0 retrans=0 rtt=1.952264ms min_rtt=Some(112.521µs) rttvar=1.375759ms rtt_update=789 cwnd=13500 sent_bytes=1286472 recv_bytes=836949588 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=2415, local_addr=10.10.1.2:5358 peer_addr=10.10.1.1:4448 validation_state=Validated state=Active recv=620262 sent=12879 lost=0 lost_spurious=0 retrans=0 rtt=1.725984ms min_rtt=Some(75.081µs) rttvar=885.031µs rtt_update=785 cwnd=13500 sent_bytes=1228897 recv_bytes=837177573 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=2730, local_addr=10.10.1.2:5220 peer_addr=10.10.1.1:5186 validation_state=Validated state=Active recv=620323 sent=12920 lost=0 lost_spurious=0 retrans=0 rtt=1.930347ms min_rtt=Some(153.138µs) rttvar=1.437692ms rtt_update=717 cwnd=13500 sent_bytes=1172582 recv_bytes=837233165 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=1528, local_addr=10.10.2.2:6955 peer_addr=10.10.2.1:6537 validation_state=Validated state=Active recv=620508 sent=12970 lost=0 lost_spurious=0 retrans=0 rtt=1.99629ms min_rtt=Some(69.711µs) rttvar=1.830136ms rtt_update=839 cwnd=13500 sent_bytes=1246005 recv_bytes=837520804 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=2199, local_addr=10.10.2.2:5160 peer_addr=10.10.2.1:4519 validation_state=Validated state=Active recv=620440 sent=12981 lost=0 lost_spurious=0 retrans=0 rtt=2.158652ms min_rtt=Some(141.255µs) rttvar=1.411841ms rtt_update=762 cwnd=13500 sent_bytes=1273155 recv_bytes=837425432 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=2028, local_addr=10.10.2.2:5330 peer_addr=10.10.2.1:6419 validation_state=Validated state=Active recv=620001 sent=12862 lost=0 lost_spurious=0 retrans=0 rtt=1.706498ms min_rtt=Some(116.028µs) rttvar=1.063254ms rtt_update=687 cwnd=13500 sent_bytes=1211594 recv_bytes=836806396 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=2634, local_addr=10.10.1.2:4637 peer_addr=10.10.1.1:6246 validation_state=Validated state=Active recv=620764 sent=12974 lost=0 lost_spurious=0 retrans=0 rtt=1.686343ms min_rtt=Some(141.836µs) rttvar=1.361069ms rtt_update=799 cwnd=13500 sent_bytes=1290111 recv_bytes=837827267 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=14152, local_addr=10.10.2.2:5140 peer_addr=10.10.2.1:5787 validation_state=Validated state=Active recv=620285 sent=12904 lost=0 lost_spurious=0 retrans=0 rtt=2.126772ms min_rtt=Some(134.873µs) rttvar=1.310282ms rtt_update=846 cwnd=13500 sent_bytes=1362901 recv_bytes=837177708 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=2693, local_addr=10.10.1.2:5334 peer_addr=10.10.1.1:4983 validation_state=Validated state=Active recv=620463 sent=12930 lost=0 lost_spurious=0 retrans=0 rtt=1.941455ms min_rtt=Some(87.161µs) rttvar=1.681054ms rtt_update=746 cwnd=14850 sent_bytes=1240230 recv_bytes=837427971 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=1622, local_addr=10.10.2.2:4898 peer_addr=10.10.2.1:6951 validation_state=Validated state=Active recv=620376 sent=12893 lost=0 lost_spurious=0 retrans=0 rtt=1.859803ms min_rtt=Some(75.401µs) rttvar=1.651112ms rtt_update=804 cwnd=13500 sent_bytes=1245200 recv_bytes=837305604 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=8088]
