[2024-05-24T20:28:38.398228896Z INFO  quiche_apps::client] connecting to 10.10.1.1:4433 from 10.10.1.2:4863 with scid 8ace32d275c09ccd81c1cd0e80f30c60e222824e
[2024-05-24T20:28:38.461373836Z INFO  quiche_apps::client] Path (10.10.1.2:6439, 10.10.1.1:6482) is now validated
[2024-05-24T20:28:38.461415344Z INFO  quiche_apps::client] Path (10.10.2.2:6548, 10.10.2.1:6852) is now validated
[2024-05-24T20:28:38.461520461Z INFO  quiche_apps::client] Path (10.10.1.2:6599, 10.10.1.1:5068) is now validated
[2024-05-24T20:28:38.461701751Z INFO  quiche_apps::client] Path (10.10.1.2:5945, 10.10.1.1:5786) is now validated
[2024-05-24T20:28:38.461705809Z INFO  quiche_apps::client] Path (10.10.2.2:6734, 10.10.2.1:4942) is now validated
[2024-05-24T20:28:38.461823159Z INFO  quiche_apps::client] Path (10.10.2.2:5888, 10.10.2.1:5418) is now validated
[2024-05-24T20:28:38.462127289Z INFO  quiche_apps::client] Path (10.10.2.2:6508, 10.10.2.1:6008) is now validated
[2024-05-24T20:28:48.451233274Z INFO  quiche] Received fin for stream id 3
[2024-05-24T20:28:48.451252119Z INFO  quiche_apps::client] receieved in 10.052905252s app_conn: AdaptedMcMPQUICConnClient { received: 3873086193, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-05-24T20:28:48.451268249Z INFO  quiche_apps::client] receieved in 10.052921402s app_conn: AdaptedMcMPQUICConnClient { received: 3873086193, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-05-24T20:28:48.451281785Z INFO  quiche_apps::client] receieved in 10.052934948s app_conn: AdaptedMcMPQUICConnClient { received: 3873086193, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-05-24T20:28:48.451286994Z INFO  quiche_apps::client] receieved in 10.052940157s app_conn: AdaptedMcMPQUICConnClient { received: 3873086193, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-05-24T20:28:48.461344918Z INFO  quiche_apps::client] connection closed, recv=2982324 sent=112759 lost=0 retrans=0 sent_bytes=9310188 recv_bytes=4024491256 lost_bytes=0 [local_addr=10.10.1.2:4863 peer_addr=10.10.1.1:4433 validation_state=Validated state=Active recv=373057 sent=13994 lost=0 lost_spurious=0 retrans=0 rtt=506.194µs min_rtt=Some(70.522µs) rttvar=531.04µs rtt_update=784 cwnd=13500 sent_bytes=1061176 recv_bytes=503405859 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=52328, local_addr=10.10.2.2:6548 peer_addr=10.10.2.1:6852 validation_state=Validated state=Active recv=372621 sent=14114 lost=0 lost_spurious=0 retrans=0 rtt=507.637µs min_rtt=Some(120.045µs) rttvar=316.054µs rtt_update=862 cwnd=13500 sent_bytes=1161991 recv_bytes=502838068 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=7259, local_addr=10.10.1.2:6439 peer_addr=10.10.1.1:6482 validation_state=Validated state=Active recv=372575 sent=14196 lost=0 lost_spurious=0 retrans=0 rtt=503.402µs min_rtt=Some(68.799µs) rttvar=299.31µs rtt_update=1033 cwnd=13500 sent_bytes=1127346 recv_bytes=502744679 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=7378, local_addr=10.10.1.2:6599 peer_addr=10.10.1.1:5068 validation_state=Validated state=Active recv=373337 sent=14078 lost=0 lost_spurious=0 retrans=0 rtt=434.974µs min_rtt=Some(102.109µs) rttvar=370.155µs rtt_update=953 cwnd=13500 sent_bytes=1130765 recv_bytes=503788529 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=0, local_addr=10.10.1.2:5945 peer_addr=10.10.1.1:5786 validation_state=Validated state=Active recv=372521 sent=14106 lost=0 lost_spurious=0 retrans=0 rtt=461.435µs min_rtt=Some(71.784µs) rttvar=375.615µs rtt_update=1343 cwnd=13500 sent_bytes=1234690 recv_bytes=502722558 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=0, local_addr=10.10.2.2:6734 peer_addr=10.10.2.1:4942 validation_state=Validated state=Active recv=372581 sent=14196 lost=0 lost_spurious=0 retrans=0 rtt=349.887µs min_rtt=Some(75.692µs) rttvar=229.969µs rtt_update=1276 cwnd=13500 sent_bytes=1241624 recv_bytes=502790559 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=64447, local_addr=10.10.2.2:5888 peer_addr=10.10.2.1:5418 validation_state=Validated state=Active recv=372375 sent=14057 lost=0 lost_spurious=0 retrans=0 rtt=423.248µs min_rtt=Some(66.996µs) rttvar=321.156µs rtt_update=1131 cwnd=13500 sent_bytes=1171259 recv_bytes=502497219 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=8198, local_addr=10.10.2.2:6508 peer_addr=10.10.2.1:6008 validation_state=Validated state=Active recv=373257 sent=14018 lost=0 lost_spurious=0 retrans=0 rtt=488.255µs min_rtt=Some(72.777µs) rttvar=219.673µs rtt_update=1016 cwnd=13500 sent_bytes=1181337 recv_bytes=503703785 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=7412]
