Linux 5.15.0-86-generic (server.vingenzi-207649.improvprot-pg0.utah.cloudlab.us) 	05/26/2024 	_x86_64_	(32 CPU)

07:02:52 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:02:53 PM  all    2.00    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   97.94
07:02:53 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:53 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:53 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:53 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:53 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:53 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:53 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:53 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:53 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:53 PM    9   30.30    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   68.69
07:02:53 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:53 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:53 PM   12    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
07:02:53 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:53 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:53 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

07:02:53 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:02:54 PM  all    1.00    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.81
07:02:54 PM    0    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
07:02:54 PM    1    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
07:02:54 PM    2    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
07:02:54 PM    3    5.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
07:02:54 PM    4    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
07:02:54 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:54 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:54 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:54 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:54 PM    9    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
07:02:54 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:54 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:54 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:54 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:54 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:54 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

07:02:54 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:02:55 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:55 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:55 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:55 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:55 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:55 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:55 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:55 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:55 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:55 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:55 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:55 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:55 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:55 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:55 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:55 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:55 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

07:02:55 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:02:56 PM  all    2.74    0.00   35.26    0.00    0.00    1.00    0.00    0.00    0.00   61.01
07:02:56 PM    0    4.90    0.00   43.14    0.00    0.00    1.96    0.00    0.00    0.00   50.00
07:02:56 PM    1    3.92    0.00   44.12    0.00    0.00    0.00    0.00    0.00    0.00   51.96
07:02:56 PM    2    4.04    0.00   41.41    0.00    0.00    2.02    0.00    0.00    0.00   52.53
07:02:56 PM    3    1.00    0.00   46.00    0.00    0.00    0.00    0.00    0.00    0.00   53.00
07:02:56 PM    4    4.90    0.00   42.16    0.00    0.00    0.98    0.00    0.00    0.00   51.96
07:02:56 PM    5    2.02    0.00   44.44    0.00    0.00    0.00    0.00    0.00    0.00   53.54
07:02:56 PM    6    2.00    0.00   43.00    0.00    0.00    3.00    0.00    0.00    0.00   52.00
07:02:56 PM    7    3.00    0.00   42.00    0.00    0.00    3.00    0.00    0.00    0.00   52.00
07:02:56 PM    8    3.96    0.00   43.56    0.00    0.00    0.00    0.00    0.00    0.00   52.48
07:02:56 PM    9    1.96    0.00   45.10    0.00    0.00    0.98    0.00    0.00    0.00   51.96
07:02:56 PM   10    5.88    0.00   42.16    0.00    0.00    0.00    0.00    0.00    0.00   51.96
07:02:56 PM   11    4.08    0.00   40.82    0.00    0.00    2.04    0.00    0.00    0.00   53.06
07:02:56 PM   12    1.96    0.00   44.12    0.00    0.00    1.96    0.00    0.00    0.00   51.96
07:02:56 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:56 PM   14    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
07:02:56 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

07:02:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:02:57 PM  all   15.47    0.00   23.02    0.00    0.00    2.99    0.00    0.00    0.00   58.52
07:02:57 PM    0   29.59    0.00   24.49    0.00    0.00    2.04    0.00    0.00    0.00   43.88
07:02:57 PM    1   10.78    0.00   27.45    0.00    0.00    0.00    0.00    0.00    0.00   61.76
07:02:57 PM    2   20.59    0.00   28.43    0.00    0.00    8.82    0.00    0.00    0.00   42.16
07:02:57 PM    3   17.00    0.00   30.00    0.00    0.00    3.00    0.00    0.00    0.00   50.00
07:02:57 PM    4   14.00    0.00   24.00    0.00    0.00    4.00    0.00    0.00    0.00   58.00
07:02:57 PM    5   19.61    0.00   30.39    0.00    0.00    0.00    0.00    0.00    0.00   50.00
07:02:57 PM    6   19.39    0.00   29.59    0.00    0.00    2.04    0.00    0.00    0.00   48.98
07:02:57 PM    7   21.78    0.00   26.73    0.00    0.00    3.96    0.00    0.00    0.00   47.52
07:02:57 PM    8   21.78    0.00   31.68    0.00    0.00    2.97    0.00    0.00    0.00   43.56
07:02:57 PM    9   21.57    0.00   29.41    0.00    0.00    4.90    0.00    0.00    0.00   44.12
07:02:57 PM   10   20.79    0.00   30.69    0.00    0.00    0.00    0.00    0.00    0.00   48.51
07:02:57 PM   11   13.27    0.00   28.57    0.00    0.00    4.08    0.00    0.00    0.00   54.08
07:02:57 PM   12   17.53    0.00   26.80    0.00    0.00    4.12    0.00    0.00    0.00   51.55
07:02:57 PM   13    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
07:02:57 PM   14    0.00    0.00    0.00    0.00    0.00    7.00    0.00    0.00    0.00   93.00
07:02:57 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

07:02:57 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:02:58 PM  all   17.31    0.00    7.19    0.00    0.00    2.93    0.00    0.00    0.00   72.57
07:02:58 PM    0   23.96    0.00   11.46    0.00    0.00    6.25    0.00    0.00    0.00   58.33
07:02:58 PM    1   10.31    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   86.60
07:02:58 PM    2   24.24    0.00    9.09    0.00    0.00   11.11    0.00    0.00    0.00   55.56
07:02:58 PM    3   25.00    0.00    7.00    0.00    0.00    2.00    0.00    0.00    0.00   66.00
07:02:58 PM    4   13.00    0.00    7.00    0.00    0.00    5.00    0.00    0.00    0.00   75.00
07:02:58 PM    5   20.20    0.00   11.11    0.00    0.00    0.00    0.00    0.00    0.00   68.69
07:02:58 PM    6   19.35    0.00    7.53    0.00    0.00    4.30    0.00    0.00    0.00   68.82
07:02:58 PM    7   17.00    0.00   13.00    0.00    0.00    7.00    0.00    0.00    0.00   63.00
07:02:58 PM    8   27.18    0.00   12.62    0.00    0.00    3.88    0.00    0.00    0.00   56.31
07:02:58 PM    9   27.37    0.00    7.37    0.00    0.00    1.05    0.00    0.00    0.00   64.21
07:02:58 PM   10   26.67    0.00   12.38    0.00    0.00    0.00    0.00    0.00    0.00   60.95
07:02:58 PM   11   18.56    0.00    8.25    0.00    0.00    3.09    0.00    0.00    0.00   70.10
07:02:58 PM   12   23.40    0.00    4.26    0.00    0.00    2.13    0.00    0.00    0.00   70.21
07:02:58 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:02:58 PM   14    0.00    0.00    0.00    0.00    0.00    1.06    0.00    0.00    0.00   98.94
