  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
01:02:51      5.29      3.59      0.00      0.00      0.00      0.00
01:02:52      5.74      0.61      0.00      0.00      0.00      0.00
01:02:53      8.76      4.49      0.00      0.00      0.00      0.00
01:02:54      4.04      0.00      0.00      0.00      0.00      0.00
01:02:55      4.27      0.00    391.24  60765.38    265.34  39368.94
01:02:56      1.93      0.00    642.94  1.03e+06    412.40  716100.2
01:02:57      4.68      0.06    828.50  1.05e+06    503.65  712982.1
01:02:58      3.63      0.00    835.98  1.05e+06    503.76  713395.4
01:02:59      3.22      0.00    849.41  1.05e+06    520.17  711968.9
01:03:00      3.75      0.00    865.72  1.05e+06    522.28  712780.1
01:03:01      4.82      0.37    855.17  1.05e+06    521.83  712311.4
01:03:02      3.16      0.06    851.18  1.05e+06    523.93  715432.9
01:03:03      4.57      0.00    855.21  1.05e+06    524.63  716300.8
01:03:04      2.22      0.00    860.30  1.05e+06    522.32  712948.1
01:03:05      5.15      0.00    853.06  1.05e+06    521.83  712321.5
01:03:06      3.97      0.24    851.07  1.04e+06    540.67  726529.7
01:03:07      6.16      2.43    852.53  1.05e+06    521.10  711209.0
01:03:08      1.52      0.00    849.14  1.05e+06    524.12  714865.9
01:03:09      3.45      0.00    849.99  1.05e+06    521.03  711130.2
01:03:10      1.83      0.00    856.80  1.05e+06    521.62  712064.4
01:03:11      5.15      0.00    856.86  1.05e+06    521.03  711243.6
01:03:12      2.23      0.00    857.35  1.05e+06    520.90  710656.2
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
01:03:13      5.27      0.06    859.49  1.05e+06    522.01  712698.0
01:03:14      2.22      0.00    861.59  1.05e+06    520.59  710466.9
01:03:15      3.28      0.00    611.28  746234.7    372.93  508271.6
01:03:16      2.34      0.00      0.00      0.00      0.00      0.00
01:03:17      3.92      0.00      0.00      0.00      0.00      0.00
01:03:18      3.69      0.00      0.00      0.00      0.00      0.00
01:03:19      2.76      0.33      0.00      0.00      0.00      0.00
01:03:20     22.68     18.89      0.00      0.00      0.00      0.00
01:03:21     21.93     18.67      0.00      0.00      0.00      0.00
01:03:22     32.60     22.93      0.00      0.00      0.00      0.00
