Linux 5.15.0-86-generic (client.vingenzi-207649.improvprot-pg0.utah.cloudlab.us) 	05/27/2024 	_x86_64_	(32 CPU)

01:42:09 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:42:10 AM  all    2.00    0.00    0.19    0.06    0.00    0.00    0.00    0.00    0.00   97.75
01:42:10 AM    0   31.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   67.00
01:42:10 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:42:10 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:42:10 AM    3    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
01:42:10 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:42:10 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:42:10 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:42:10 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:42:10 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:42:10 AM    9    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
01:42:10 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:42:10 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:42:10 AM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:42:10 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:42:10 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:42:10 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:42:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:42:11 AM  all    2.19    0.00    0.75    0.00    0.00    0.50    0.00    0.00    0.00   96.56
01:42:11 AM    0    6.93    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   91.09
01:42:11 AM    1    2.94    0.00    0.98    0.00    0.00    1.96    0.00    0.00    0.00   94.12
01:42:11 AM    2    2.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   96.00
01:42:11 AM    3    3.96    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   93.07
01:42:11 AM    4    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
01:42:11 AM    5    1.98    0.00    1.98    0.00    0.00    1.98    0.00    0.00    0.00   94.06
01:42:11 AM    6    2.02    0.00    0.00    0.00    0.00    3.03    0.00    0.00    0.00   94.95
01:42:11 AM    7    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:42:11 AM    8    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01:42:11 AM    9    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:42:11 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:42:11 AM   11    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
01:42:11 AM   12    9.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
01:42:11 AM   13    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01:42:11 AM   14    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
01:42:11 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:42:11 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:42:12 AM  all   14.09    0.00    8.46    0.00    0.00    8.28    0.00    0.00    0.00   69.17
01:42:12 AM    0   41.00    0.00   24.00    0.00    0.00    1.00    0.00    0.00    0.00   34.00
01:42:12 AM    1   34.34    0.00   20.20    0.00    0.00   19.19    0.00    0.00    0.00   26.26
01:42:12 AM    2   33.98    0.00   19.42    0.00    0.00   14.56    0.00    0.00    0.00   32.04
01:42:12 AM    3   33.67    0.00   26.53    0.00    0.00    2.04    0.00    0.00    0.00   37.76
01:42:12 AM    4   37.63    0.00   18.28    0.00    0.00    0.00    0.00    0.00    0.00   44.09
01:42:12 AM    5   21.00    0.00   11.00    0.00    0.00   45.00    0.00    0.00    0.00   23.00
01:42:12 AM    6   24.24    0.00   16.16    0.00    0.00   38.38    0.00    0.00    0.00   21.21
01:42:12 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:42:12 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:42:12 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:42:12 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:42:12 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:42:12 AM   12    0.00    0.00    0.00    0.00    0.00   11.58    0.00    0.00    0.00   88.42
01:42:12 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:42:12 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:42:12 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:42:12 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:42:13 AM  all   17.44    0.00    9.16    0.00    0.00    9.22    0.00    0.00    0.00   64.18
01:42:13 AM    0   47.47    0.00   27.27    0.00    0.00    1.01    0.00    0.00    0.00   24.24
01:42:13 AM    1   43.88    0.00   21.43    0.00    0.00   24.49    0.00    0.00    0.00   10.20
01:42:13 AM    2   40.59    0.00   24.75    0.00    0.00   12.87    0.00    0.00    0.00   21.78
01:42:13 AM    3   44.76    0.00   26.67    0.00    0.00    0.95    0.00    0.00    0.00   27.62
01:42:13 AM    4   47.06    0.00   20.59    0.00    0.00    0.00    0.00    0.00    0.00   32.35
01:42:13 AM    5   25.74    0.00    8.91    0.00    0.00   51.49    0.00    0.00    0.00   13.86
