  Time        ens2f0np0           ens2f1np1           ens1f0np0     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
18:36:45  21353.89    138.01  16734.77    112.49      8.63      2.02
18:36:46  322073.3    688.54  307545.4    586.77      5.44      0.00
18:36:47  1.11e+06    466.43  1.12e+06    468.49      6.32      0.00
18:36:48  1.13e+06    483.03  1.09e+06    575.23      5.09      0.00
18:36:49  1.14e+06    498.98  1.10e+06    601.02      5.56      0.00
18:36:50  1.12e+06    480.59  1.11e+06    598.48      5.74      0.12
18:36:51  1.15e+06    547.25  1.13e+06    634.29      6.32      0.00
18:36:52  1.80e+06   1013.43  1.66e+06    980.18      6.09      0.00
18:36:53  1.84e+06    909.59  1.75e+06   1026.26      6.20      0.00
18:36:54  1.86e+06    830.13  1.72e+06    924.45      5.85      0.00
18:36:55  1.85e+06    994.46  1.68e+06    960.28      6.61      0.00
18:36:56  1.84e+06    978.22  1.65e+06    935.45      5.91      0.06
18:36:57  1.85e+06    934.72  1.70e+06    977.25      6.56      0.06
18:36:58  1.83e+06    866.84  1.70e+06    919.02      6.09      0.06
18:36:59  1.87e+06    707.18  1.79e+06    937.33      6.73      0.00
18:37:00  1.87e+06    674.78  1.79e+06    885.35      7.09      1.48
18:37:01  1.88e+06    677.44  1.81e+06    860.55      6.41      1.24
18:37:02  1.88e+06    698.29  1.81e+06    846.45      5.74      0.00
18:37:03  1.89e+06    701.59  1.77e+06    810.94      6.03      0.00
18:37:04  1.91e+06    692.18  1.80e+06    826.67      6.09      0.00
18:37:05  1.59e+06    592.54  1.50e+06    691.13      5.61      0.24
18:37:06      0.00      0.00      0.00      0.00      8.09      2.97
  Time        ens2f0np0           ens2f1np1           ens1f0np0     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
18:37:07      0.00      0.00      0.00      0.00      9.21      2.63
18:37:08      0.00      0.00      0.00      0.00      7.81      2.92
18:37:09      0.00      0.00      0.00      0.00     10.06      2.57
18:37:10      0.00      0.00      0.00      0.00      8.30      1.72
18:37:11      0.00      0.00      0.00      0.00      8.86      2.92
18:37:12      0.00      0.00      0.00      0.00      7.29      1.99
18:37:13      0.00      0.00      0.00      0.00      8.30      2.60
18:37:14      0.00      0.00      0.00      0.00      7.09      2.27
18:37:15      0.00      0.00      0.00      0.00      9.83      2.72
18:37:16      0.00      0.00      0.00      0.00      7.21      2.92
18:37:17      0.00      0.00      0.00      0.00      6.95      2.10
18:37:18      0.00      0.00      0.00      0.00     10.01      4.00
18:37:19      0.00      0.00      0.00      0.00      8.45      2.16
18:37:20      0.00      0.00      0.00      0.00      9.35      3.27
18:37:21      0.00      0.00      0.00      0.00     25.98     13.51
18:37:22      0.00      0.00      0.00      0.00     21.66     12.06
18:37:23      0.00      0.00      0.00      0.00      8.80      2.34
18:37:24      0.00      0.00      0.00      0.00      9.46      3.02
18:37:25      0.00      0.00      0.00      0.00      9.13      3.70
18:37:26      0.00      0.00      0.00      0.00      8.76      2.47
