  Time        ens2f0np0           ens2f1np1           ens1f0np0     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
20:22:44      0.00      0.00      0.00      0.00      6.09      0.00
20:22:45      0.00      0.00      0.00      0.00      5.50      0.00
20:22:46      0.00      0.00      0.00      0.00      5.38      0.00
20:22:47      0.00      0.00      0.00      0.00      7.67      0.00
20:22:48      0.00      0.00      0.00      0.00      6.03      0.00
20:22:49      0.00      0.00      0.00      0.00      6.61      0.00
20:22:50      0.00      0.00      0.00      0.00      6.79      0.00
20:22:51      0.00      0.00      0.00      0.00      7.43      0.06
20:22:52      0.00      0.00      0.00      0.00      6.51      0.00
20:22:53      0.00      0.00      0.00      0.00      7.49      0.00
20:22:54      0.00      0.00      0.00      0.00      5.91      0.00
20:22:55      0.00      0.00      0.00      0.00      6.44      0.00
20:22:56      0.00      0.00      0.00      0.00      9.41      2.45
20:22:57      0.00      0.00      0.00      0.00      8.66      2.02
20:22:58      0.00      0.00      0.00      0.00      5.38      0.06
20:22:59    160.67  24369.44    157.80  22575.77      5.68      0.00
20:23:00    563.48  82318.52    544.35  80417.59      5.62      0.00
20:23:01    304.45  525707.6    353.17  427563.7      6.09      0.00
20:23:02    576.90  1.15e+06    411.86  994697.5      6.68      0.00
20:23:03    572.75  1.16e+06    466.50  1.04e+06      5.33      0.06
20:23:04    603.11  1.18e+06    464.08  1.06e+06      5.58      0.00
20:23:05    569.85  1.18e+06    448.18  1.06e+06      5.50      0.06
  Time        ens2f0np0           ens2f1np1           ens1f0np0     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
20:23:06    901.42  1.71e+06    818.72  1.49e+06      6.49      0.00
20:23:07   1109.70  2.25e+06    866.90  1.87e+06      5.44      0.00
20:23:08   1064.70  2.32e+06    809.97  1.89e+06      5.74      0.00
20:23:09    985.02  2.35e+06    747.42  1.92e+06      6.26      0.24
20:23:10   1065.97  2.33e+06    688.61  1.90e+06      5.56      0.00
20:23:11    996.51  2.33e+06    738.58  1.91e+06      6.03      0.06
20:23:12   1058.60  2.32e+06    654.43  1.91e+06      5.62      0.00
20:23:13   1076.43  2.30e+06    674.79  1.93e+06      6.85      0.18
20:23:14    851.03  2.28e+06    515.57  1.94e+06      5.56      0.18
20:23:15    876.26  2.33e+06    422.91  2.01e+06      5.38      0.06
20:23:16    908.33  2.36e+06    449.37  2.03e+06      4.86      0.00
20:23:17   1001.95  2.36e+06    452.64  2.02e+06      5.21      0.00
20:23:18    987.10  2.33e+06    434.60  1.99e+06      5.21      0.00
20:23:19    684.30  1.72e+06    310.66  1.47e+06      5.46      0.00
20:23:20      0.00      0.00      0.00      0.00      5.85      0.00
20:23:21      0.00      0.00      0.00      0.00      6.09      0.00
20:23:22      0.00      0.00      0.00      0.00      5.21      0.00
20:23:23      0.00      0.00      0.00      0.00      5.68      0.00
20:23:24      0.00      0.00      0.00      0.00      5.24      0.00
20:23:25      0.00      0.00      0.00      0.00      6.44      0.00
20:23:26      0.00      0.00      0.00      0.00      5.03      0.00
20:23:27      0.00      0.00      0.00      0.00      6.57      0.00
  Time        ens2f0np0           ens2f1np1           ens1f0np0     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
20:23:28      0.00      0.00      0.00      0.00      5.27      0.00
20:23:29      0.00      0.00      0.00      0.00      5.09      0.00
20:23:30      0.00      0.00      0.00      0.00      5.75      0.00
20:23:31      0.00      0.00      0.00      0.00      5.21      0.00
20:23:32      0.00      0.00      0.00      0.00      6.32      0.00
20:23:33      0.00      0.00      0.00      0.00      5.21      0.00
20:23:34      0.00      0.00      0.00      0.00      4.86      0.00
20:23:35      0.00      0.00      0.00      0.00      6.15      0.00
20:23:36      0.00      0.00      0.00      0.00      5.38      0.00
20:23:37      0.00      0.00      0.00      0.00      5.68      0.06
20:23:38      0.00      0.00      0.00      0.00      5.27      0.00
20:23:39      0.00      0.00      0.00      0.00     11.34      4.68
20:23:40      0.00      0.00      0.00      0.00     13.34      7.60
20:23:41      0.00      0.00      0.00      0.00      8.58      2.95
20:23:42      0.00      0.00      0.00      0.00      7.77      2.91
20:23:43      0.00      0.00      0.00      0.00      8.38      2.51
20:23:44      0.00      0.00      0.00      0.00      8.57      2.43
20:23:45      0.00      0.00      0.00      0.00     10.06      3.40
20:23:46      0.00      0.00      0.00      0.00      8.36      2.45
20:23:47      0.00      0.00      0.00      0.00      9.00      3.89
20:23:48      0.00      0.00      0.00      0.00     10.16      3.19
20:23:49      0.00      0.00      0.00      0.00      7.49      2.36
  Time        ens2f0np0           ens2f1np1           ens1f0np0     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
20:23:50      0.00      0.00      0.00      0.00     25.30     12.59
20:23:51      0.00      0.00      0.00      0.00     27.42     14.29
20:23:52      0.00      0.00      0.00      0.00      9.04      3.03
20:23:53      0.00      0.00      0.00      0.00     10.48      4.46
20:23:54      0.00      0.00      0.00      0.00      8.31      2.89
