[2024-06-02T09:31:05.902274577Z INFO  quiche_apps::client] connecting to 10.10.2.1:5980 from 10.10.2.2:5138 with scid 3ec84409c3ddfe24c12cda380912265489c59408
[2024-06-02T09:31:25.992677756Z INFO  quiche] Received fin for stream id 3
[2024-06-02T09:31:25.993972991Z INFO  quiche_apps::client] receieved in 20.091478954s app_conn: AdaptedMcMPQUICConnClient { received: 6133370351, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.004181819Z INFO  quiche_apps::client] receieved in 20.101687962s app_conn: AdaptedMcMPQUICConnClient { received: 6133370351, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.014240225Z INFO  quiche_apps::client] receieved in 20.111746397s app_conn: AdaptedMcMPQUICConnClient { received: 6133370351, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.024298490Z INFO  quiche_apps::client] receieved in 20.121804663s app_conn: AdaptedMcMPQUICConnClient { received: 6133370351, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.034355834Z INFO  quiche_apps::client] receieved in 20.131862007s app_conn: AdaptedMcMPQUICConnClient { received: 6133370351, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.044413037Z INFO  quiche_apps::client] receieved in 20.14191922s app_conn: AdaptedMcMPQUICConnClient { received: 6133370351, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.054470371Z INFO  quiche_apps::client] receieved in 20.151976544s app_conn: AdaptedMcMPQUICConnClient { received: 6133370351, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.064527474Z INFO  quiche_apps::client] receieved in 20.162033667s app_conn: AdaptedMcMPQUICConnClient { received: 6133370351, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.074584347Z INFO  quiche_apps::client] receieved in 20.17209055s app_conn: AdaptedMcMPQUICConnClient { received: 6133370351, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.084641721Z INFO  quiche_apps::client] receieved in 20.182147914s app_conn: AdaptedMcMPQUICConnClient { received: 6133370351, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.094699215Z INFO  quiche_apps::client] receieved in 20.192205408s app_conn: AdaptedMcMPQUICConnClient { received: 6133370351, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.104755847Z INFO  quiche_apps::client] receieved in 20.20226194s app_conn: AdaptedMcMPQUICConnClient { received: 6133370351, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.114814392Z INFO  quiche_apps::client] receieved in 20.212320585s app_conn: AdaptedMcMPQUICConnClient { received: 6133370351, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.124872428Z INFO  quiche_apps::client] connection closed, recv=4724768 sent=17749 lost=0 retrans=0 sent_bytes=1023783 recv_bytes=6375815176 lost_bytes=0 [local_addr=10.10.2.2:5138 peer_addr=10.10.2.1:5980 validation_state=Validated state=Active recv=4724768 sent=17749 lost=0 lost_spurious=0 retrans=0 rtt=7.327697ms min_rtt=Some(26.431µs) rttvar=8.472068ms rtt_update=6746 cwnd=13500 sent_bytes=1023783 recv_bytes=6375815176 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=929]
