[2024-06-02T09:31:05.902818866Z INFO  quiche_apps::client] connecting to 10.10.2.1:5600 from 10.10.2.2:6827 with scid acec47258d05291d332a8908302ddaba0a2b707d
[2024-06-02T09:31:26.043946584Z INFO  quiche] Received fin for stream id 3
[2024-06-02T09:31:26.043998782Z INFO  quiche_apps::client] receieved in 20.141056925s app_conn: AdaptedMcMPQUICConnClient { received: 8152075373, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.054070141Z INFO  quiche_apps::client] receieved in 20.151128405s app_conn: AdaptedMcMPQUICConnClient { received: 8152075373, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.064129439Z INFO  quiche_apps::client] receieved in 20.161187782s app_conn: AdaptedMcMPQUICConnClient { received: 8152075373, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.074187093Z INFO  quiche_apps::client] receieved in 20.171245427s app_conn: AdaptedMcMPQUICConnClient { received: 8152075373, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.084244878Z INFO  quiche_apps::client] receieved in 20.181303222s app_conn: AdaptedMcMPQUICConnClient { received: 8152075373, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.094302081Z INFO  quiche_apps::client] receieved in 20.191360425s app_conn: AdaptedMcMPQUICConnClient { received: 8152075373, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.104359705Z INFO  quiche_apps::client] receieved in 20.201418029s app_conn: AdaptedMcMPQUICConnClient { received: 8152075373, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.114417338Z INFO  quiche_apps::client] receieved in 20.211475662s app_conn: AdaptedMcMPQUICConnClient { received: 8152075373, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.124474423Z INFO  quiche_apps::client] receieved in 20.221532766s app_conn: AdaptedMcMPQUICConnClient { received: 8152075373, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.134532347Z INFO  quiche_apps::client] receieved in 20.231590691s app_conn: AdaptedMcMPQUICConnClient { received: 8152075373, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.144589490Z INFO  quiche_apps::client] receieved in 20.241647834s app_conn: AdaptedMcMPQUICConnClient { received: 8152075373, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.154646544Z INFO  quiche_apps::client] receieved in 20.251704888s app_conn: AdaptedMcMPQUICConnClient { received: 8152075373, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.164703767Z INFO  quiche_apps::client] receieved in 20.261762121s app_conn: AdaptedMcMPQUICConnClient { received: 8152075373, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.174760830Z INFO  quiche_apps::client] receieved in 20.271819184s app_conn: AdaptedMcMPQUICConnClient { received: 8152075373, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.184817212Z INFO  quiche_apps::client] receieved in 20.281875566s app_conn: AdaptedMcMPQUICConnClient { received: 8152075373, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.194874987Z INFO  quiche_apps::client] receieved in 20.291933321s app_conn: AdaptedMcMPQUICConnClient { received: 8152075373, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.204932751Z INFO  quiche_apps::client] receieved in 20.301991085s app_conn: AdaptedMcMPQUICConnClient { received: 8152075373, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:31:26.214989603Z INFO  quiche_apps::client] connection closed, recv=6279266 sent=26786 lost=0 retrans=0 sent_bytes=1539737 recv_bytes=8475404979 lost_bytes=0 [local_addr=10.10.2.2:6827 peer_addr=10.10.2.1:5600 validation_state=Validated state=Active recv=6279266 sent=26786 lost=0 lost_spurious=0 retrans=0 rtt=11.293561ms min_rtt=Some(82.107µs) rttvar=11.16126ms rtt_update=8689 cwnd=13500 sent_bytes=1539737 recv_bytes=8475404979 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=1474]
