[2024-06-02T09:43:08.769163116Z INFO  quiche_apps::client] connecting to 10.10.1.1:6622 from 10.10.1.2:4749 with scid 643e47b3af8f309901cde419243eae8cdc23c042
[2024-06-02T09:43:28.880945769Z INFO  quiche] Received fin for stream id 3
[2024-06-02T09:43:28.880999900Z INFO  quiche_apps::client] receieved in 20.111734342s app_conn: AdaptedMcMPQUICConnClient { received: 7560997572, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:43:28.891072142Z INFO  quiche_apps::client] receieved in 20.121806714s app_conn: AdaptedMcMPQUICConnClient { received: 7560997572, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:43:28.901130348Z INFO  quiche_apps::client] receieved in 20.13186491s app_conn: AdaptedMcMPQUICConnClient { received: 7560997572, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:43:28.911187642Z INFO  quiche_apps::client] receieved in 20.141922234s app_conn: AdaptedMcMPQUICConnClient { received: 7560997572, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:43:28.921246499Z INFO  quiche_apps::client] receieved in 20.151981061s app_conn: AdaptedMcMPQUICConnClient { received: 7560997572, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:43:28.931304414Z INFO  quiche_apps::client] receieved in 20.162038996s app_conn: AdaptedMcMPQUICConnClient { received: 7560997572, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:43:28.941361789Z INFO  quiche_apps::client] receieved in 20.172096371s app_conn: AdaptedMcMPQUICConnClient { received: 7560997572, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:43:28.951419083Z INFO  quiche_apps::client] receieved in 20.182153675s app_conn: AdaptedMcMPQUICConnClient { received: 7560997572, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:43:28.961476527Z INFO  quiche_apps::client] receieved in 20.192211109s app_conn: AdaptedMcMPQUICConnClient { received: 7560997572, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:43:28.971534252Z INFO  quiche_apps::client] receieved in 20.202268844s app_conn: AdaptedMcMPQUICConnClient { received: 7560997572, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:43:28.981592027Z INFO  quiche_apps::client] receieved in 20.212326619s app_conn: AdaptedMcMPQUICConnClient { received: 7560997572, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
