  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
11:46:50      4.00      0.00      0.00      0.00      0.00      0.00
11:46:51      5.03      0.00      0.00      0.00      0.00      0.00
11:46:52      3.05      0.00      0.00      0.00      0.00      0.00
11:46:53      4.62      0.00      0.00      0.00      0.00      0.00
11:46:54      3.10      0.06      0.00      0.00      0.00      0.00
11:46:55      3.75      0.12      0.00      0.00      0.00      0.00
11:46:56      4.21      0.00      0.00      0.00      0.00      0.00
11:46:57      4.57      0.00      0.00      0.00      0.00      0.00
11:46:58      4.10      0.00      0.00      0.00      0.00      0.00
11:46:59      3.92      0.00      0.00      0.00      0.00      0.00
11:47:00      4.39      0.00      0.00      0.00      0.00      0.00
11:47:01      4.27      2.08      0.00      0.00      0.00      0.00
11:47:02      6.54      1.26      0.00      0.00      0.00      0.00
11:47:03      6.72      4.06      0.00      0.00      0.00      0.00
11:47:04      4.62      0.00      0.00      0.00      0.00      0.00
11:47:05      2.75      0.00    511.61  351207.5    564.54  319829.0
11:47:06      4.81      0.36    749.33  2.74e+06    765.10  2.31e+06
11:47:07      4.98      0.00    691.38  2.86e+06    943.06  2.36e+06
11:47:08      3.86      0.00    824.04  2.81e+06    825.99  2.35e+06
11:47:09      5.79      0.00   1219.36  2.93e+06    728.69  2.25e+06
11:47:10      3.04      0.00    826.21  2.73e+06    811.98  2.41e+06
11:47:11      4.22      0.00    822.17  2.82e+06    773.68  2.29e+06
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
11:47:12      3.86      0.00   1275.25  2.99e+06    692.30  2.07e+06
11:47:13      6.32      0.00   1164.82  2.91e+06    819.33  2.27e+06
11:47:14      2.11      0.00    928.15  2.81e+06    854.81  2.39e+06
11:47:15      4.45      0.00    919.21  2.80e+06    840.03  2.35e+06
11:47:16      4.59      1.33    938.26  2.86e+06    855.62  2.35e+06
11:47:17      4.37      1.04    722.51  2.79e+06    830.13  2.34e+06
11:47:18      1.99      0.16    642.85  2.72e+06    801.43  2.40e+06
11:47:19      4.51      0.00    651.66  2.51e+06    798.34  2.57e+06
11:47:20      3.22      0.06    769.27  2.65e+06    750.41  2.44e+06
11:47:21      4.39      0.00    621.00  2.79e+06    750.68  2.36e+06
11:47:22      3.05      0.00    526.15  2.56e+06    867.06  2.57e+06
11:47:23      3.57      0.00    487.65  2.49e+06    823.65  2.50e+06
11:47:24      2.93      0.00    808.63  2.78e+06    725.42  2.33e+06
11:47:25      4.21      0.00    652.62  2.38e+06    667.25  2.00e+06
11:47:26      3.05      0.00      0.00      0.00      0.00      0.00
11:47:27      4.68      0.00      0.00      0.00      0.00      0.00
11:47:28      3.69      0.00      0.00      0.00      0.00      0.00
11:47:29      4.21      0.00      0.00      0.00      0.00      0.00
11:47:30      2.81      0.00      0.00      0.00      0.00      0.00
11:47:31      3.91      0.14      0.00      0.00      0.00      0.00
11:47:32      4.33      2.66      0.00      0.00      0.00      0.00
11:47:33      4.52      0.00      0.00      0.00      0.00      0.00
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
11:47:34      5.74      0.00      0.00      0.00      0.00      0.00
11:47:35      4.23      0.00      0.00      0.00      0.00      0.00
11:47:36      4.86      0.00      0.00      0.00      0.00      0.00
11:47:37      3.86      0.00      0.00      0.00      0.00      0.00
11:47:38      4.16      0.00      0.00      0.00      0.00      0.00
11:47:39      2.69      0.06      0.00      0.00      0.00      0.00
11:47:40      4.04      0.00      0.00      0.00      0.00      0.00
11:47:41      1.40      0.00      0.00      0.00      0.00      0.00
11:47:42      5.16      0.00      0.00      0.00      0.00      0.00
11:47:43      3.88      0.06      0.00      0.00      0.00      0.00
11:47:44      6.15      0.00      0.00      0.00      0.00      0.00
11:47:45      2.34      0.00      0.00      0.00      0.00      0.00
11:47:46      5.33      0.00      0.00      0.00      0.00      0.00
11:47:47      3.10      0.00      0.00      0.00      0.00      0.00
11:47:48      9.63      4.28      0.00      0.00      0.00      0.00
11:47:49      9.30      2.73      0.00      0.00      0.00      0.00
11:47:50     11.22      6.59      0.00      0.00      0.00      0.00
11:47:51      6.97      2.76      0.00      0.00      0.00      0.00
11:47:52      7.14      1.38      0.00      0.00      0.00      0.00
11:47:53      8.40      2.08      0.00      0.00      0.00      0.00
11:47:54      5.51      2.77      0.00      0.00      0.00      0.00
11:47:55      5.77      1.25      0.00      0.00      0.00      0.00
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
11:47:56      5.91      2.66      0.00      0.00      0.00      0.00
11:47:57      7.84      2.11      0.00      0.00      0.00      0.00
11:47:58      4.00      0.99      0.00      0.00      0.00      0.00
11:47:59      7.05      2.04      0.00      0.00      0.00      0.00
11:48:00      7.18      5.03      0.00      0.00      0.00      0.00
11:48:01      8.38      2.18      0.00      0.00      0.00      0.00
11:48:03      7.56      2.51      0.00      0.00      0.00      0.00
11:48:04      5.40      2.16      0.00      0.00      0.00      0.00
11:48:05      5.05      2.18      0.00      0.00      0.00      0.00
11:48:06      8.67      2.51      0.00      0.00      0.00      0.00
