[2024-06-02T09:51:07.929245425Z INFO  quiche_apps::client] connecting to 10.10.1.1:4433 from 10.10.1.2:5322 with scid 24f1767b0489c84b67d6bab39f8f3f869cf93f70
[2024-06-02T09:51:28.018344628Z INFO  quiche] Received fin for stream id 3
[2024-06-02T09:51:28.018435829Z INFO  quiche_apps::client] receieved in 20.08909194s app_conn: AdaptedMcMPQUICConnClient { received: 6685935638, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.028512239Z INFO  quiche_apps::client] receieved in 20.09916847s app_conn: AdaptedMcMPQUICConnClient { received: 6685935638, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.038570375Z INFO  quiche_apps::client] receieved in 20.109226626s app_conn: AdaptedMcMPQUICConnClient { received: 6685935638, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.048627630Z INFO  quiche_apps::client] receieved in 20.119283881s app_conn: AdaptedMcMPQUICConnClient { received: 6685935638, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.058683742Z INFO  quiche_apps::client] receieved in 20.129339993s app_conn: AdaptedMcMPQUICConnClient { received: 6685935638, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.068740816Z INFO  quiche_apps::client] receieved in 20.139397076s app_conn: AdaptedMcMPQUICConnClient { received: 6685935638, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.078797729Z INFO  quiche_apps::client] receieved in 20.14945399s app_conn: AdaptedMcMPQUICConnClient { received: 6685935638, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.088854663Z INFO  quiche_apps::client] receieved in 20.159510914s app_conn: AdaptedMcMPQUICConnClient { received: 6685935638, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.098913300Z INFO  quiche_apps::client] receieved in 20.169569561s app_conn: AdaptedMcMPQUICConnClient { received: 6685935638, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.108971516Z INFO  quiche_apps::client] receieved in 20.179627767s app_conn: AdaptedMcMPQUICConnClient { received: 6685935638, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.119029162Z INFO  quiche_apps::client] receieved in 20.189685402s app_conn: AdaptedMcMPQUICConnClient { received: 6685935638, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.129087597Z INFO  quiche_apps::client] connection closed, recv=5148672 sent=21541 lost=0 retrans=0 sent_bytes=1134273 recv_bytes=6950348229 lost_bytes=0 [local_addr=10.10.1.2:5322 peer_addr=10.10.1.1:4433 validation_state=Validated state=Active recv=5148672 sent=21541 lost=0 lost_spurious=0 retrans=0 rtt=5.630292ms min_rtt=Some(59.264µs) rttvar=7.048259ms rtt_update=1650 cwnd=13500 sent_bytes=1134273 recv_bytes=6950348229 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=37263]
