[2024-06-02T09:51:07.974513098Z INFO  quiche_apps::client] connecting to 10.10.1.1:5423 from 10.10.1.2:5398 with scid 12550e2ba1930e92bd13b8bf927f07c6437058f1
[2024-06-02T09:51:28.159047504Z INFO  quiche] Received fin for stream id 3
[2024-06-02T09:51:28.159522984Z INFO  quiche_apps::client] receieved in 20.184938904s app_conn: AdaptedMcMPQUICConnClient { received: 8171055689, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.169631094Z INFO  quiche_apps::client] receieved in 20.195047064s app_conn: AdaptedMcMPQUICConnClient { received: 8171055689, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.179690282Z INFO  quiche_apps::client] receieved in 20.205106322s app_conn: AdaptedMcMPQUICConnClient { received: 8171055689, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.189748949Z INFO  quiche_apps::client] receieved in 20.215165008s app_conn: AdaptedMcMPQUICConnClient { received: 8171055689, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.199806433Z INFO  quiche_apps::client] receieved in 20.225222503s app_conn: AdaptedMcMPQUICConnClient { received: 8171055689, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.209863407Z INFO  quiche_apps::client] receieved in 20.235279477s app_conn: AdaptedMcMPQUICConnClient { received: 8171055689, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.219919119Z INFO  quiche_apps::client] receieved in 20.245335179s app_conn: AdaptedMcMPQUICConnClient { received: 8171055689, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.229976544Z INFO  quiche_apps::client] receieved in 20.255392604s app_conn: AdaptedMcMPQUICConnClient { received: 8171055689, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.240033086Z INFO  quiche_apps::client] receieved in 20.265449156s app_conn: AdaptedMcMPQUICConnClient { received: 8171055689, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.250090330Z INFO  quiche_apps::client] receieved in 20.27550638s app_conn: AdaptedMcMPQUICConnClient { received: 8171055689, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.260146854Z INFO  quiche_apps::client] receieved in 20.285562913s app_conn: AdaptedMcMPQUICConnClient { received: 8171055689, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.270203256Z INFO  quiche_apps::client] receieved in 20.295619316s app_conn: AdaptedMcMPQUICConnClient { received: 8171055689, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.280259279Z INFO  quiche_apps::client] receieved in 20.305675338s app_conn: AdaptedMcMPQUICConnClient { received: 8171055689, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T09:51:28.290316413Z INFO  quiche_apps::client] connection closed, recv=6292923 sent=32076 lost=0 retrans=0 sent_bytes=1685470 recv_bytes=8494953660 lost_bytes=0 [local_addr=10.10.1.2:5398 peer_addr=10.10.1.1:5423 validation_state=Validated state=Active recv=6292923 sent=32076 lost=0 lost_spurious=0 retrans=0 rtt=7.907487ms min_rtt=Some(6.594µs) rttvar=8.829278ms rtt_update=2053 cwnd=13500 sent_bytes=1685470 recv_bytes=8494953660 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=1228]
