[2024-06-02T10:07:26.236928923Z INFO  quiche_apps::client] connecting to 10.10.1.1:6078 from 10.10.1.2:6365 with scid 0cca6bfdcfc81a1e33f70659f4d2f75094dacac1
[2024-06-02T10:07:46.326918653Z INFO  quiche] Received fin for stream id 3
[2024-06-02T10:07:46.327034229Z INFO  quiche_apps::client] receieved in 20.089974361s app_conn: AdaptedMcMPQUICConnClient { received: 8562208502, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:07:46.337104545Z INFO  quiche_apps::client] receieved in 20.100044776s app_conn: AdaptedMcMPQUICConnClient { received: 8562208502, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:07:46.347163479Z INFO  quiche_apps::client] receieved in 20.110103741s app_conn: AdaptedMcMPQUICConnClient { received: 8562208502, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:07:46.357220921Z INFO  quiche_apps::client] receieved in 20.120161212s app_conn: AdaptedMcMPQUICConnClient { received: 8562208502, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:07:46.367278732Z INFO  quiche_apps::client] receieved in 20.130219004s app_conn: AdaptedMcMPQUICConnClient { received: 8562208502, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:07:46.377337196Z INFO  quiche_apps::client] receieved in 20.140277497s app_conn: AdaptedMcMPQUICConnClient { received: 8562208502, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:07:46.387394947Z INFO  quiche_apps::client] receieved in 20.150335239s app_conn: AdaptedMcMPQUICConnClient { received: 8562208502, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:07:46.397453631Z INFO  quiche_apps::client] receieved in 20.160393923s app_conn: AdaptedMcMPQUICConnClient { received: 8562208502, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:07:46.407510822Z INFO  quiche_apps::client] connection closed, recv=6594022 sent=32612 lost=0 retrans=0 sent_bytes=1707610 recv_bytes=8901755600 lost_bytes=0 [local_addr=10.10.1.2:6365 peer_addr=10.10.1.1:6078 validation_state=Validated state=Active recv=6594022 sent=32612 lost=0 lost_spurious=0 retrans=0 rtt=7.010351ms min_rtt=Some(46.95µs) rttvar=4.352115ms rtt_update=1502 cwnd=13500 sent_bytes=1707610 recv_bytes=8901755600 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=3371]
