[2024-06-02T10:19:45.678254376Z INFO  quiche_apps::client] connecting to 10.10.2.1:5372 from 10.10.2.2:6566 with scid 1e40d3f78046dc4c6b639f238d15344bf938d549
[2024-06-02T10:20:05.721619278Z INFO  quiche] Received fin for stream id 3
[2024-06-02T10:20:05.721898951Z INFO  quiche_apps::client] receieved in 20.043578001s app_conn: AdaptedMcMPQUICConnClient { received: 6205501332, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.732000364Z INFO  quiche_apps::client] receieved in 20.053679444s app_conn: AdaptedMcMPQUICConnClient { received: 6205501332, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.742058836Z INFO  quiche_apps::client] receieved in 20.063737956s app_conn: AdaptedMcMPQUICConnClient { received: 6205501332, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.752117719Z INFO  quiche_apps::client] receieved in 20.073796859s app_conn: AdaptedMcMPQUICConnClient { received: 6205501332, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.762175991Z INFO  quiche_apps::client] receieved in 20.083855101s app_conn: AdaptedMcMPQUICConnClient { received: 6205501332, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.772234072Z INFO  quiche_apps::client] receieved in 20.093913202s app_conn: AdaptedMcMPQUICConnClient { received: 6205501332, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.782291362Z INFO  quiche_apps::client] receieved in 20.103970492s app_conn: AdaptedMcMPQUICConnClient { received: 6205501332, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.792348892Z INFO  quiche_apps::client] receieved in 20.114028042s app_conn: AdaptedMcMPQUICConnClient { received: 6205501332, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.802406743Z INFO  quiche_apps::client] receieved in 20.124085893s app_conn: AdaptedMcMPQUICConnClient { received: 6205501332, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.812464033Z INFO  quiche_apps::client] receieved in 20.134143183s app_conn: AdaptedMcMPQUICConnClient { received: 6205501332, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.822522055Z INFO  quiche_apps::client] receieved in 20.144201204s app_conn: AdaptedMcMPQUICConnClient { received: 6205501332, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.832580317Z INFO  quiche_apps::client] receieved in 20.154259386s app_conn: AdaptedMcMPQUICConnClient { received: 6205501332, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.842638328Z INFO  quiche_apps::client] receieved in 20.164317478s app_conn: AdaptedMcMPQUICConnClient { received: 6205501332, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.852694736Z INFO  quiche_apps::client] receieved in 20.174373886s app_conn: AdaptedMcMPQUICConnClient { received: 6205501332, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.862751635Z INFO  quiche_apps::client] receieved in 20.184430765s app_conn: AdaptedMcMPQUICConnClient { received: 6205501332, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.872782105Z INFO  quiche_apps::client] connection closed, recv=4779094 sent=22916 lost=0 retrans=0 sent_bytes=1235168 recv_bytes=6450728369 lost_bytes=0 [local_addr=10.10.2.2:6566 peer_addr=10.10.2.1:5372 validation_state=Validated state=Active recv=4779094 sent=22916 lost=0 lost_spurious=0 retrans=0 rtt=18.906365ms min_rtt=Some(40.148µs) rttvar=7.615286ms rtt_update=3421 cwnd=13500 sent_bytes=1235168 recv_bytes=6450728369 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=4874]
