[2024-06-02T10:19:45.677153465Z INFO  quiche_apps::client] connecting to 10.10.2.1:6905 from 10.10.2.2:6750 with scid 1d19a46d0c6262a7dc7f382a1fe22e9331ac341d
[2024-06-02T10:20:05.721441485Z INFO  quiche] Received fin for stream id 3
[2024-06-02T10:20:05.721689489Z INFO  quiche_apps::client] receieved in 20.044430016s app_conn: AdaptedMcMPQUICConnClient { received: 6078449320, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.731786975Z INFO  quiche_apps::client] receieved in 20.054527601s app_conn: AdaptedMcMPQUICConnClient { received: 6078449320, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.741845467Z INFO  quiche_apps::client] receieved in 20.064586104s app_conn: AdaptedMcMPQUICConnClient { received: 6078449320, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.751903117Z INFO  quiche_apps::client] receieved in 20.074643794s app_conn: AdaptedMcMPQUICConnClient { received: 6078449320, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.761960367Z INFO  quiche_apps::client] receieved in 20.084701034s app_conn: AdaptedMcMPQUICConnClient { received: 6078449320, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.772017867Z INFO  quiche_apps::client] receieved in 20.094758534s app_conn: AdaptedMcMPQUICConnClient { received: 6078449320, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.782074746Z INFO  quiche_apps::client] receieved in 20.104815423s app_conn: AdaptedMcMPQUICConnClient { received: 6078449320, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.792131976Z INFO  quiche_apps::client] receieved in 20.114872663s app_conn: AdaptedMcMPQUICConnClient { received: 6078449320, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.802188825Z INFO  quiche_apps::client] receieved in 20.124929512s app_conn: AdaptedMcMPQUICConnClient { received: 6078449320, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.812246486Z INFO  quiche_apps::client] receieved in 20.134987173s app_conn: AdaptedMcMPQUICConnClient { received: 6078449320, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.822304157Z INFO  quiche_apps::client] receieved in 20.145044843s app_conn: AdaptedMcMPQUICConnClient { received: 6078449320, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.832361016Z INFO  quiche_apps::client] receieved in 20.155101693s app_conn: AdaptedMcMPQUICConnClient { received: 6078449320, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.842418266Z INFO  quiche_apps::client] receieved in 20.165158953s app_conn: AdaptedMcMPQUICConnClient { received: 6078449320, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.852475245Z INFO  quiche_apps::client] receieved in 20.175215942s app_conn: AdaptedMcMPQUICConnClient { received: 6078449320, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.862532264Z INFO  quiche_apps::client] receieved in 20.185272971s app_conn: AdaptedMcMPQUICConnClient { received: 6078449320, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.872589865Z INFO  quiche_apps::client] receieved in 20.195330572s app_conn: AdaptedMcMPQUICConnClient { received: 6078449320, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:20:05.882647726Z INFO  quiche_apps::client] connection closed, recv=4681697 sent=17663 lost=0 retrans=0 sent_bytes=957083 recv_bytes=6318625955 lost_bytes=0 [local_addr=10.10.2.2:6750 peer_addr=10.10.2.1:6905 validation_state=Validated state=Active recv=4681697 sent=17663 lost=0 lost_spurious=0 retrans=0 rtt=16.353122ms min_rtt=Some(58.761µs) rttvar=8.97372ms rtt_update=3064 cwnd=13500 sent_bytes=957083 recv_bytes=6318625955 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=3897]
