Server address : 10.10.1.1:4433, Client address 10.10.1.2:5625
Server address : 10.10.2.1:5159, Client address 10.10.2.2:6147
Server address : 10.10.1.1:6997, Client address 10.10.1.2:6224
Server address : 10.10.2.1:5445, Client address 10.10.2.2:5871
Server address : 10.10.1.1:5130, Client address 10.10.1.2:5252
Server address : 10.10.2.1:6571, Client address 10.10.2.2:5820
Server address : 10.10.1.1:4957, Client address 10.10.1.2:5905
Server address : 10.10.2.1:6867, Client address 10.10.2.2:5611
Server address : 10.10.1.1:6243, Client address 10.10.1.2:6141
Server address : 10.10.2.1:6905, Client address 10.10.2.2:6750
Server address : 10.10.1.1:6432, Client address 10.10.1.2:6593
Server address : 10.10.2.1:5325, Client address 10.10.2.2:5213
Server address : 10.10.1.1:5476, Client address 10.10.1.2:5193
Server address : 10.10.2.1:4880, Client address 10.10.2.2:6353
Server address : 10.10.1.1:6504, Client address 10.10.1.2:6378
Server address : 10.10.2.1:5372, Client address 10.10.2.2:6566
