[2024-06-02T10:32:12.757458831Z INFO  quiche_apps::client] connecting to 10.10.2.1:5262 from 10.10.2.2:6194 with scid c2873800f9700f0657e9ff754e819dff69d3cbe0
[2024-06-02T10:32:32.797767534Z INFO  quiche] Received fin for stream id 3
[2024-06-02T10:32:32.797851832Z INFO  quiche_apps::client] receieved in 20.040154074s app_conn: AdaptedMcMPQUICConnClient { received: 4682234263, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:32:32.807929861Z INFO  quiche_apps::client] receieved in 20.050232083s app_conn: AdaptedMcMPQUICConnClient { received: 4682234263, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:32:32.817989035Z INFO  quiche_apps::client] receieved in 20.060291287s app_conn: AdaptedMcMPQUICConnClient { received: 4682234263, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:32:32.828046857Z INFO  quiche_apps::client] receieved in 20.070349139s app_conn: AdaptedMcMPQUICConnClient { received: 4682234263, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:32:32.838104859Z INFO  quiche_apps::client] receieved in 20.080407111s app_conn: AdaptedMcMPQUICConnClient { received: 4682234263, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:32:32.848162270Z INFO  quiche_apps::client] receieved in 20.090464542s app_conn: AdaptedMcMPQUICConnClient { received: 4682234263, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:32:32.858219381Z INFO  quiche_apps::client] receieved in 20.100521673s app_conn: AdaptedMcMPQUICConnClient { received: 4682234263, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:32:32.868275709Z INFO  quiche_apps::client] receieved in 20.110578001s app_conn: AdaptedMcMPQUICConnClient { received: 4682234263, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:32:32.878333942Z INFO  quiche_apps::client] connection closed, recv=3605493 sent=13446 lost=0 retrans=0 sent_bytes=737335 recv_bytes=4866418599 lost_bytes=0 [local_addr=10.10.2.2:6194 peer_addr=10.10.2.1:5262 validation_state=Validated state=Active recv=3605493 sent=13446 lost=0 lost_spurious=0 retrans=0 rtt=4.87323ms min_rtt=Some(73.688µs) rttvar=5.335106ms rtt_update=2802 cwnd=13500 sent_bytes=737335 recv_bytes=4866418599 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=1172]
