[2024-06-02T10:52:22.961821848Z INFO  quiche_apps::client] connecting to 10.10.2.1:6644 from 10.10.2.2:5534 with scid 09c36bcfbb2385f386413881c86a163db72cdd83
[2024-06-02T10:52:43.085455920Z INFO  quiche] Received fin for stream id 3
[2024-06-02T10:52:43.088823455Z INFO  quiche_apps::client] receieved in 20.126809136s app_conn: AdaptedMcMPQUICConnClient { received: 6761938770, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:52:43.099306981Z INFO  quiche_apps::client] receieved in 20.137292863s app_conn: AdaptedMcMPQUICConnClient { received: 6761938770, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:52:43.109367506Z INFO  quiche_apps::client] receieved in 20.147353578s app_conn: AdaptedMcMPQUICConnClient { received: 6761938770, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:52:43.119426658Z INFO  quiche_apps::client] receieved in 20.15741269s app_conn: AdaptedMcMPQUICConnClient { received: 6761938770, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:52:43.129486411Z INFO  quiche_apps::client] receieved in 20.167472483s app_conn: AdaptedMcMPQUICConnClient { received: 6761938770, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:52:43.139546545Z INFO  quiche_apps::client] receieved in 20.177532587s app_conn: AdaptedMcMPQUICConnClient { received: 6761938770, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:52:43.149606179Z INFO  quiche_apps::client] receieved in 20.18759224s app_conn: AdaptedMcMPQUICConnClient { received: 6761938770, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:52:43.159663247Z INFO  quiche_apps::client] receieved in 20.197649318s app_conn: AdaptedMcMPQUICConnClient { received: 6761938770, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:52:43.169722459Z INFO  quiche_apps::client] receieved in 20.207708511s app_conn: AdaptedMcMPQUICConnClient { received: 6761938770, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T10:52:43.179782683Z INFO  quiche_apps::client] connection closed, recv=5207535 sent=63443 lost=0 retrans=0 sent_bytes=3313661 recv_bytes=7029423241 lost_bytes=0 [local_addr=10.10.2.2:5534 peer_addr=10.10.2.1:6644 validation_state=Validated state=Active recv=5207535 sent=63443 lost=0 lost_spurious=0 retrans=0 rtt=4.567464ms min_rtt=Some(30.207µs) rttvar=6.239023ms rtt_update=3175 cwnd=13500 sent_bytes=3313661 recv_bytes=7029423241 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=1629]
