Linux 5.15.0-86-generic (client.vingenzi-208469.improvprot-pg0.utah.cloudlab.us) 	06/02/2024 	_x86_64_	(32 CPU)

09:07:59 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:08:00 AM  all   14.59    0.00    6.61    0.00    0.00    7.54    0.00    0.00    0.00   71.26
09:08:00 AM    0   17.65    0.00    5.88    0.00    0.00    8.82    0.00    0.00    0.00   67.65
09:08:00 AM    1   18.63    0.00   10.78    0.00    0.00    0.00    0.00    0.00    0.00   70.59
09:08:00 AM    2   16.33    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   75.51
09:08:00 AM    3    5.05    0.00    2.02    0.00    0.00   19.19    0.00    0.00    0.00   73.74
09:08:00 AM    4   15.84    0.00   11.88    0.00    0.00    0.99    0.00    0.00    0.00   71.29
09:08:00 AM    5    1.98    0.00    0.00    0.00    0.00   24.75    0.00    0.00    0.00   73.27
09:08:00 AM    6   10.20    0.00    3.06    0.00    0.00    9.18    0.00    0.00    0.00   77.55
09:08:00 AM    7   13.86    0.00    5.94    0.00    0.00    8.91    0.00    0.00    0.00   71.29
09:08:00 AM    8   13.00    0.00    7.00    0.00    0.00    9.00    0.00    0.00    0.00   71.00
09:08:00 AM    9   14.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00   74.00
09:08:00 AM   10   14.00    0.00    9.00    0.00    0.00    9.00    0.00    0.00    0.00   68.00
09:08:00 AM   11   16.67    0.00    8.82    0.00    0.00    0.98    0.00    0.00    0.00   73.53
09:08:00 AM   12    8.91    0.00    1.98    0.00    0.00   17.82    0.00    0.00    0.00   71.29
09:08:00 AM   13   18.63    0.00    8.82    0.00    0.00    0.00    0.00    0.00    0.00   72.55
09:08:00 AM   14   32.67    0.00    0.99    0.00    0.00   10.89    0.00    0.00    0.00   55.45
09:08:00 AM   15   15.62    0.00    9.38    0.00    0.00    1.04    0.00    0.00    0.00   73.96

09:08:00 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:08:01 AM  all   38.59    0.00   21.73    0.00    0.00   20.38    0.00    0.00    0.00   19.30
09:08:01 AM    0   37.37    0.00   26.26    0.00    0.00   24.24    0.00    0.00    0.00   12.12
09:08:01 AM    1   55.45    0.00   34.65    0.00    0.00    0.00    0.00    0.00    0.00    9.90
09:08:01 AM    2   48.08    0.00   28.85    0.00    0.00    0.96    0.00    0.00    0.00   22.12
09:08:01 AM    3   20.20    0.00   16.16    0.00    0.00   52.53    0.00    0.00    0.00   11.11
09:08:01 AM    4   56.00    0.00   32.00    0.00    0.00    1.00    0.00    0.00    0.00   11.00
09:08:01 AM    5    0.00    0.00    0.00    0.00    0.00   77.89    0.00    0.00    0.00   22.11
09:08:01 AM    6   39.80    0.00   17.35    0.00    0.00   29.59    0.00    0.00    0.00   13.27
09:08:01 AM    7   43.88    0.00   19.39    0.00    0.00   24.49    0.00    0.00    0.00   12.24
09:08:01 AM    8   45.00    0.00   18.00    0.00    0.00   24.00    0.00    0.00    0.00   13.00
09:08:01 AM    9   49.51    0.00   33.01    0.00    0.00    0.97    0.00    0.00    0.00   16.50
09:08:01 AM   10   33.67    0.00   23.47    0.00    0.00   32.65    0.00    0.00    0.00   10.20
09:08:01 AM   11   55.10    0.00   27.55    0.00    0.00    1.02    0.00    0.00    0.00   16.33
09:08:01 AM   12    9.09    0.00    9.09    0.00    0.00   35.06    0.00    0.00    0.00   46.75
09:08:01 AM   13   47.47    0.00   30.30    0.00    0.00    0.00    0.00    0.00    0.00   22.22
09:08:01 AM   14   36.46    0.00   14.58    0.00    0.00   29.17    0.00    0.00    0.00   19.79
09:08:01 AM   15   31.00    0.00   12.00    0.00    0.00    1.00    0.00    0.00    0.00   56.00

09:08:01 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:08:02 AM  all   38.10    0.00   22.37    0.00    0.00   20.63    0.00    0.00    0.00   18.89
09:08:02 AM    0   17.39    0.00    9.78    0.00    0.00   20.65    0.00    0.00    0.00   52.17
09:08:02 AM    1   61.62    0.00   31.31    0.00    0.00    0.00    0.00    0.00    0.00    7.07
09:08:02 AM    2   51.58    0.00   29.47    0.00    0.00    0.00    0.00    0.00    0.00   18.95
09:08:02 AM    3   28.87    0.00   14.43    0.00    0.00   39.18    0.00    0.00    0.00   17.53
09:08:02 AM    4   54.55    0.00   32.32    0.00    0.00    1.01    0.00    0.00    0.00   12.12
09:08:02 AM    5    0.00    0.00    0.00    0.00    0.00   76.60    0.00    0.00    0.00   23.40
09:08:02 AM    6   36.63    0.00   17.82    0.00    0.00   37.62    0.00    0.00    0.00    7.92
09:08:02 AM    7   25.00    0.00   26.04    0.00    0.00   25.00    0.00    0.00    0.00   23.96
09:08:02 AM    8   48.00    0.00   15.00    0.00    0.00   19.00    0.00    0.00    0.00   18.00
09:08:02 AM    9   55.00    0.00   27.00    0.00    0.00    1.00    0.00    0.00    0.00   17.00
09:08:02 AM   10   30.61    0.00   24.49    0.00    0.00   35.71    0.00    0.00    0.00    9.18
09:08:02 AM   11   51.52    0.00   33.33    0.00    0.00    0.00    0.00    0.00    0.00   15.15
09:08:02 AM   12    0.00    0.00    0.00    0.00    0.00   52.05    0.00    0.00    0.00   47.95
09:08:02 AM   13   50.47    0.00   33.64    0.00    0.00    0.00    0.00    0.00    0.00   15.89
09:08:02 AM   14   34.34    0.00   24.24    0.00    0.00   35.35    0.00    0.00    0.00    6.06
09:08:02 AM   15   49.02    0.00   30.39    0.00    0.00    0.00    0.00    0.00    0.00   20.59

