  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
10:01:36      5.26      1.98      0.00      0.00      0.00      0.00
10:01:37      4.02      1.76      0.00      0.00      0.00      0.00
10:01:38      3.88      0.13  1.14e+06   1018.63  931097.7    742.65
10:01:39      2.34      0.00  2.68e+06   1249.42  2.15e+06   1359.21
10:01:40      2.93      0.00  2.59e+06   1184.00  2.27e+06   1259.75
10:01:41      3.34      0.00  2.70e+06   1271.88  2.22e+06   1139.43
10:01:42      2.69      0.00  2.62e+06   1071.98  2.23e+06   1129.57
10:01:43      5.10      0.00  2.72e+06    926.53  2.14e+06   1147.57
10:01:44      4.27      0.00  2.65e+06   1137.21  2.34e+06   1123.80
10:01:45      4.57      0.06  2.50e+06    960.22  2.45e+06   1201.03
10:01:46      2.69      0.06  2.46e+06    971.68  2.44e+06   1147.09
10:01:47      3.80      0.06  2.38e+06    620.88  2.53e+06   1054.70
10:01:48      3.17      0.00  2.44e+06    545.04  2.52e+06   1072.21
10:01:49      2.52      0.00  2.35e+06    567.44  2.53e+06   1077.46
10:01:50      3.46      0.00  2.40e+06    694.74  2.54e+06   1093.02
10:01:51      2.98      0.00  2.33e+06    498.05  2.53e+06   1109.33
10:01:52      3.69      0.00  2.34e+06    470.51  2.54e+06   1038.94
10:01:53      4.33      0.00  2.32e+06    492.39  2.57e+06   1090.39
10:01:54      3.57      0.00  2.40e+06    656.78  2.56e+06   1071.98
10:01:55      5.91      0.00  2.38e+06    485.15  2.56e+06   1083.20
10:01:56      2.28      0.00  2.40e+06    479.14  2.56e+06   1138.06
10:01:57      4.04      0.00  2.41e+06    484.85  2.57e+06   1132.55
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
10:01:58      4.05      0.92  1.23e+06    392.79  1.34e+06    575.05
10:01:59      4.29      0.13      0.00      0.00      0.00      0.00
10:02:00      4.31      2.00      0.00      0.00      0.00      0.00
10:02:01      3.30      0.24      0.00      0.00      0.00      0.00
10:02:02      3.34      0.73      0.00      0.00      0.00      0.00
10:02:03      4.83      1.32      0.00      0.00      0.00      0.00
10:02:04      3.49      1.39      0.00      0.00      0.00      0.00
10:02:05      5.02      2.00      0.00      0.00      0.00      0.00
10:02:06      3.07      0.34      0.00      0.00      0.00      0.00
10:02:07      6.20      0.62      0.00      0.00      0.00      0.00
10:02:08      5.07      1.42      0.00      0.00      0.00      0.00
10:02:09      6.27      2.00      0.00      0.00      0.00      0.00
10:02:10      6.81      2.11      0.00      0.00      0.00      0.00
10:02:11      5.42      0.71      0.00      0.00      0.00      0.00
10:02:12      4.71      0.39      0.00      0.00      0.00      0.00
10:02:13      6.56      1.83      0.00      0.00      0.00      0.00
10:02:14      6.02      0.58      0.00      0.00      0.00      0.00
10:02:15      3.71      2.17      0.00      0.00      0.00      0.00
10:02:16      7.29      4.16      0.00      0.00      0.00      0.00
10:02:17      2.93      0.88      0.00      0.00      0.00      0.00
10:02:18      3.90      0.21      0.00      0.00      0.00      0.00
10:02:19      3.92      1.83      0.00      0.00      0.00      0.00
  Time         eno33np0          enp65s0f0np0        enp65s0f1np1   
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
10:02:20      5.56      0.83      0.00      0.00      0.00      0.00
10:02:21      2.93      0.92      0.00      0.00      0.00      0.00
10:02:22      4.11      1.90      0.00      0.00      0.00      0.00
10:02:23      3.19      0.39      0.00      0.00      0.00      0.00
10:02:24      3.33      0.99      0.00      0.00      0.00      0.00
10:02:25      4.91      1.47      0.00      0.00      0.00      0.00
10:02:26      4.53      1.65      0.00      0.00      0.00      0.00
10:02:27      5.78      2.06      0.00      0.00      0.00      0.00
10:02:28      2.41      0.24      0.00      0.00      0.00      0.00
10:02:29      4.51      0.73      0.00      0.00      0.00      0.00
10:02:30      4.54      1.42      0.00      0.00      0.00      0.00
10:02:31      4.84      2.38      0.00      0.00      0.00      0.00
10:02:32      3.12      0.24      0.00      0.00      0.00      0.00
10:02:33      5.80      1.90      0.00      0.00      0.00      0.00
10:02:34      4.01      0.39      0.00      0.00      0.00      0.00
10:02:35      4.21      1.83      0.00      0.00      0.00      0.00
10:02:36      6.14      0.67      0.00      0.00      0.00      0.00
