[2024-06-02T08:09:28.199497596Z INFO  quiche_apps::client] connecting to 10.10.2.1:6879 from 10.10.2.2:4886 with scid 946f15bb264afcb2364592345631be78aea56fba
[2024-06-02T08:09:48.267726088Z INFO  quiche] Received fin for stream id 3
[2024-06-02T08:09:48.268418485Z INFO  quiche_apps::client] receieved in 20.068796997s app_conn: AdaptedMcMPQUICConnClient { received: 8092794537, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T08:09:48.278566114Z INFO  quiche_apps::client] receieved in 20.078944686s app_conn: AdaptedMcMPQUICConnClient { received: 8092794537, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T08:09:48.288624355Z INFO  quiche_apps::client] receieved in 20.089002937s app_conn: AdaptedMcMPQUICConnClient { received: 8092794537, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T08:09:48.298682616Z INFO  quiche_apps::client] receieved in 20.099061228s app_conn: AdaptedMcMPQUICConnClient { received: 8092794537, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T08:09:48.308742541Z INFO  quiche_apps::client] receieved in 20.109121172s app_conn: AdaptedMcMPQUICConnClient { received: 8092794537, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T08:09:48.318800051Z INFO  quiche_apps::client] receieved in 20.119178663s app_conn: AdaptedMcMPQUICConnClient { received: 8092794537, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T08:09:48.328857851Z INFO  quiche_apps::client] receieved in 20.129236483s app_conn: AdaptedMcMPQUICConnClient { received: 8092794537, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T08:09:48.338916253Z INFO  quiche_apps::client] receieved in 20.139294895s app_conn: AdaptedMcMPQUICConnClient { received: 8092794537, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T08:09:48.348974133Z INFO  quiche_apps::client] receieved in 20.149352715s app_conn: AdaptedMcMPQUICConnClient { received: 8092794537, stream_ids: {3}, recv_fin_ids: {3}, expected_streams: 1, ending: true }
[2024-06-02T08:09:48.359030992Z INFO  quiche_apps::client] connection closed, recv=6233253 sent=16886 lost=0 retrans=0 sent_bytes=941629 recv_bytes=8413632553 lost_bytes=0 [local_addr=10.10.2.2:4886 peer_addr=10.10.2.1:6879 validation_state=Validated state=Active recv=6233253 sent=16886 lost=0 lost_spurious=0 retrans=0 rtt=4.710707ms min_rtt=Some(73.398µs) rttvar=6.002319ms rtt_update=3745 cwnd=13500 sent_bytes=941629 recv_bytes=8413632553 lost_bytes=0 stream_retrans_bytes=0 pmtu=1350 delivery_rate=1215]
